entityId,canonicalName,category,currentImage,proposedUrl,author,license,licenseUrl,attribution,reviewDate,status,observations,resourceSha256,identityVerified,identityEvidenceUrl,licenseVerified,attributionVerified,rightsEvidenceUrl
world-cup:player:datahub:P-64077,Kylian Mbappé,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-27787,Miroslav Klose,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-14758,Lionel Messi,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:e24dd2210803b4737a9bd9e3,RONALDO,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:c65f86b5308739e10a612bca,Gerd MUELLER,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-77939,Just Fontaine,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-58924,Harry Kane,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:8e484aece8ea37afd67cd15d,PELE,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-07028,Sándor Kocsis,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:dc451611d2c1a8735317fd02,Juergen KLINSMANN,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-70442,Cristiano Ronaldo,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-08136,Helmut Rahn,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-21597,Grzegorz Lato,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-36651,Gary Lineker,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-84542,Gabriel Batistuta,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-96979,Teófilo Cubillas,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:c19a3ce1b3de6abc4813daa2,MUELLER Thomas,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-34670,Christian Vieri,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-49097,David Villa,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-59574,Karl-Heinz Rummenigge,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-64138,Uwe Seeler,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-78756,Roberto Baggio,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-91717,Paolo Rossi,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:b0b184c485cf2352a9aca11a,EUSEBIO,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:cae3e9bf3ceb1d0e2762697f,VAVA,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:dc65eeba26c1987a2309ca99,ADEMIR,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:e056260633a15b1b133106af,JAIRZINHO,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-18523,Oscar Míguez,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-56486,Guillermo Stábile,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-80404,Diego Maradona,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:232851c3072c529772dd3a5e,LEONIDAS,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:2dbcb4b880683b3cf3079213,Rudi VOELLER,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:3ab7de1130a5b6afeabe4b99,NEYMAR,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:594a8bf5972f878318cfe6b8,RIVALDO,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-15674,Jude Bellingham,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-72637,Romelu Lukaku,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-30486,Luis Suárez,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-60513,Oldřich Nejedlý,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-82971,Lajos Tichy,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-89554,Johnny Rep,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-92867,Andrzej Szarmach,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:53e3e9379b7329d373424e51,CARECA,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:b406e314e37ea4ac9673efec,Hans SCHAEFER,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-93884,Ivan Perišić,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:unresolved:0ff48decae8fcb357ee46787,Erling HAALAND,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-03652,Zbigniew Boniek,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-05766,Max Morlock,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-12272,Helmut Haller,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-22409,Dennis Bergkamp,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-23705,Arjen Robben,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-35082,Mario Kempes,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-38556,Asamoah Gyan,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-51336,Wesley Sneijder,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-51395,Thierry Henry,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-58374,Davor Šuker,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-63266,Rob Rensenbrink,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-73354,Oleg Salenko,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-75912,Enner Valencia,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-76544,Salvatore Schillaci,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-81648,Hristo Stoichkov,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-85257,Erich Probst,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-86087,Diego Forlán,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
world-cup:player:datahub:P-89034,György Sárosi,world-cup-goals,monogram,,,,,,,needs_source,Pendiente de enlace y revisión manual del propietario.,,no,,no,no,
